TranscriptId	GeneSym
rna-XM_038208372.1	LOC119734805
rna-XM_038214431.1	LOC119739465
rna-XM_038217204.1	LOC119741451
rna-XM_038192416.1	LOC119722327
rna-XM_038199751.1	LOC119727722
rna-XM_038220311.1	LOC119744397
rna-XM_038218817.1	LOC119742667
rna-XM_038219224.1	LOC119742946
rna-XM_038221402.1	LOC119745179
rna-XM_038204280.1	LOC119731202
rna-XM_038218169.1	LOC119742138
rna-XM_038213937.1	LOC119739106
rna-XM_038209283.1	LOC119735548
rna-XM_038208226.1	LOC119734694
rna-XM_038216338.1	LOC119740881
rna-XM_038202848.1	LOC119730061
rna-XM_038215511.1	LOC119740255
rna-XR_005270976.1	LOC119727487
rna-XR_005273341.1	LOC119743914
rna-XR_005272093.1	LOC119734683
rna-XM_038197845.1	LOC119726227
rna-XM_038193451.1	LOC119722973
rna-XM_038194527.1	LOC119723721
rna-XM_038200701.1	LOC119728452
rna-XM_038217277.1	LOC119741500
rna-XM_038192570.1	LOC119722445
rna-XM_038191877.1	LOC119721922
rna-XM_038199541.1	LOC119727595
rna-XM_038197554.1	LOC119725937
rna-XM_038199828.1	LOC119727753
rna-XM_038211557.1	LOC119737309
rna-XM_038195681.1	LOC119724572
rna-XM_038199762.1	LOC119727729
rna-XM_038206725.1	LOC119733150
rna-XM_038192882.1	LOC119722647
rna-XM_038211095.1	LOC119737031
rna-XM_038202984.1	LOC119730198
rna-XM_038194786.1	LOC119723890
rna-XM_038215382.1	LOC119740167
rna-XM_038192792.1	LOC119722605
rna-XM_038194649.1	LOC119723789
rna-XM_038188567.1	LOC119719203
rna-XM_038205212.1	LOC119731922
rna-XR_005273590.1	LOC119744760
rna-XM_038190090.1	LOC119720425
rna-XM_038195242.1	LOC119724269
rna-XM_038216444.1	LOC119740941
rna-XM_038217769.1	LOC119741855
rna-XM_038194859.1	LOC119723941
rna-Trnaa-agc-4	Trnaa-agc
rna-XM_038215159.1	LOC119739984
rna-XM_038189597.1	LOC119720074
rna-XM_038208520.1	LOC119734894
rna-XM_038199526.1	LOC119727587
rna-XR_005269912.1	LOC119719368
rna-XM_038208698.1	LOC119735019
rna-XM_038190266.1	LOC119720555
rna-XM_038203204.1	LOC119730351
rna-XM_038219380.1	LOC119743046
rna-XM_038204018.1	LOC119730949
rna-XM_038194807.1	LOC119723903
rna-XM_038222897.1	LOC119746101
rna-XM_038220193.1	LOC119744323
rna-XM_038217217.1	LOC119741462
rna-XM_038210005.1	LOC119736005
rna-XM_038204801.1	LOC119731606
rna-XM_038205605.1	LOC119732181
rna-XM_038196014.1	LOC119724798
rna-XM_038208232.1	LOC119734696
rna-XM_038191285.1	LOC119721284
rna-XM_038206996.1	LOC119733420
rna-XM_038190161.1	LOC119720483
rna-XM_038211856.1	LOC119737467
rna-XR_005272685.1	LOC119740475
rna-XM_038212595.1	LOC119737928
rna-XM_038189239.1	LOC119719744
rna-XM_038197300.1	LOC119725743
rna-XM_038217285.1	LOC119741506
rna-XM_038208974.1	LOC119735274
rna-XM_038218292.1	LOC119742395
rna-XM_038193200.1	LOC119722837
rna-XR_005270349.1	LOC119721931
