TranscriptId	GeneSym
rna-XM_030979549.1	LOC583191
rna-XM_787409.5	LOC587697
rna-XM_030978341.1	LOC115921163
rna-XM_030983088.1	LOC115923036
rna-XM_030990179.1	LOC115918778
rna-XM_030981873.1	LOC576318
rna-XM_792183.4	LOC592672
rna-XM_030983953.1	LOC581699
rna-XM_778986.5	LOC578840
rna-XM_030983499.1	LOC594091
rna-XM_030996855.1	LOC115928858
rna-XR_004063578.1	LOC115922723
rna-XM_030983156.1	LOC100893748
rna-XM_011662551.2	LOC581462
rna-NM_214578.2	LOC373382
rna-XM_011671331.2	LOC105440801
rna-XR_004065849.1	LOC594799
rna-XM_030980381.1	LOC586431
rna-XM_030982077.1	LOC115922696
rna-XR_004063182.1	LOC115921915
rna-TRNAI-AAU-16	TRNAI-AAU
rna-XM_030980030.1	LOC583562
rna-XM_030994284.1	LOC115927927
gene-LOC586263	LOC586263
rna-XM_011670077.2	LOC578904
rna-XM_030975511.1	LOC584118
rna-XM_030974436.1	LOC115919869
rna-XM_030997831.1	LOC115917984
rna-XM_030979537.1	LOC588716
rna-XM_030985039.1	LOC105438073
rna-XM_030979124.1	LOC105443820
rna-XR_004065456.1	LOC115927155
rna-XM_003730310.3	LOC100893102
rna-XM_030995324.1	LOC115918945
rna-XM_030973868.1	LOC592924
rna-XM_011674287.2	LOC579462
rna-XM_030976321.1	LOC115920507
rna-XM_011685744.2	LOC100893596
rna-XM_030976356.1	LOC590092
rna-XM_030971960.1	LOC588772
rna-XR_004064433.1	LOC115924780
rna-XM_011662734.2	LOC583510
rna-XM_030978854.1	LOC115921395
gene-LOC115926994	LOC115926994
rna-XM_030980454.1	LOC591400
rna-XM_030981697.1	LOC115922587
rna-XM_011662257.2	LOC752956
rna-XM_030989719.1	LOC115918008
rna-XM_003725847.3	LOC580475
rna-XM_030984952.1	LOC115923709
rna-XM_030977324.1	LOC581543
rna-XM_030976422.1	LOC576502
rna-XM_030982656.1	LOC100892823
rna-XM_030972510.1	LOC115919233
gene-LOC115923510	LOC115923510
rna-XM_011684037.2	LOC115917868
rna-XM_030979099.1	LOC590546
rna-XM_030997030.1	LOC100893476
rna-TRNAV-UAC-3	TRNAV-UAC
rna-XM_011662486.2	LOC105436674
